Category: All categories

Region,China Virus: (1/20/20 - 4/20/20)
Hawaii,100
Washington,76
California,75
Alaska,74
New Jersey,72
Nevada,72
New Hampshire,71
Utah,69
Oregon,69
Connecticut,69
Massachusetts,69
Rhode Island,68
Minnesota,66
Michigan,65
Montana,64
New York,64
New Mexico,63
Florida,63
Maine,62
Idaho,62
Arizona,61
Illinois,61
Wyoming,60
Pennsylvania,60
South Dakota,58
Ohio,58
Wisconsin,57
Oklahoma,57
Indiana,57
Texas,57
Colorado,56
Arkansas,56
Delaware,56
Virginia,55
West Virginia,55
District of Columbia,55
Georgia,54
Kentucky,53
Maryland,53
Louisiana,52
North Carolina,51
Missouri,51
Vermont,50
Iowa,50
Kansas,49
North Dakota,49
Alabama,48
Tennessee,48
Nebraska,43
South Carolina,43
Mississippi,39
