Category: All categories

Day,China Virus: (United States)
2020-01-20,13
2020-01-21,48
2020-01-22,61
2020-01-23,79
2020-01-24,100
2020-01-25,89
2020-01-26,74
2020-01-27,65
2020-01-28,58
2020-01-29,51
2020-01-30,46
2020-01-31,40
2020-02-01,32
2020-02-02,27
2020-02-03,23
2020-02-04,24
2020-02-05,20
2020-02-06,19
2020-02-07,22
2020-02-08,22
2020-02-09,18
2020-02-10,19
2020-02-11,18
2020-02-12,15
2020-02-13,18
2020-02-14,17
2020-02-15,13
2020-02-16,14
2020-02-17,13
2020-02-18,14
2020-02-19,12
2020-02-20,10
2020-02-21,10
2020-02-22,9
2020-02-23,9
2020-02-24,13
2020-02-25,13
2020-02-26,19
2020-02-27,21
2020-02-28,20
2020-02-29,19
2020-03-01,19
2020-03-02,19
2020-03-03,16
2020-03-04,16
2020-03-05,19
2020-03-06,17
2020-03-07,16
2020-03-08,15
2020-03-09,18
2020-03-10,22
2020-03-11,24
2020-03-12,44
2020-03-13,45
2020-03-14,40
2020-03-15,38
2020-03-16,41
2020-03-17,43
2020-03-18,54
2020-03-19,57
2020-03-20,46
2020-03-21,45
2020-03-22,43
2020-03-23,33
2020-03-24,43
2020-03-25,51
2020-03-26,42
2020-03-27,40
2020-03-28,34
2020-03-29,27
2020-03-30,22
2020-03-31,22
2020-04-01,25
2020-04-02,19
2020-04-03,18
2020-04-04,19
2020-04-05,21
2020-04-06,18
2020-04-07,15
2020-04-08,12
2020-04-09,12
2020-04-10,10
2020-04-11,9
2020-04-12,11
2020-04-13,11
2020-04-14,10
2020-04-15,9
2020-04-16,14
2020-04-17,13
2020-04-18,10
