"","State","mean_ChinaVirusInterest","mean_KungFluInterest"
"1","AK",26,3.66666666666667
"2","AL",22,3
"3","AR",39.2666666666667,3.53333333333333
"4","AZ",52.3333333333333,4.33333333333333
"5","CA",36.3333333333333,3.06666666666667
"6","CO",31.6666666666667,3.66666666666667
"7","CT",44,4.93333333333333
"8","DC",17.8,2.13333333333333
"9","DE",39.1333333333333,3.6
"10","FL",42.4666666666667,2.4
"11","GA",38.7333333333333,3.66666666666667
"12","HI",32.7333333333333,2.6
"13","IA",35.9333333333333,4.06666666666667
"14","ID",28,4
"15","IL",47.2666666666667,6.4
"16","IN",37.4666666666667,2.93333333333333
"17","KS",26.8666666666667,2.06666666666667
"18","KY",36.2666666666667,3.4
"19","LA",49.3333333333333,1.86666666666667
"20","MA",39.4666666666667,2.46666666666667
"21","MD",41.8,3.13333333333333
"22","ME",50,4.6
"23","MI",51.8,5.93333333333333
"24","MN",40.7333333333333,5.46666666666667
"25","MO",51.3333333333333,13.2
"26","MS",36.6,3.6
"27","MT",30.8666666666667,1.86666666666667
"28","NC",37,2.8
"29","ND",18.7333333333333,1.73333333333333
"30","NE",36.6,9.13333333333333
"31","NH",25.8,5.6
"32","NJ",41.6,2.86666666666667
"33","NM",50.9333333333333,3.33333333333333
"34","NV",30,0.933333333333333
"35","NY",47.6,5.06666666666667
"36","OH",47.6,4.33333333333333
"37","OK",40.7333333333333,3.66666666666667
"38","OR",41.1333333333333,3.86666666666667
"39","PA",52.4,6.93333333333333
"40","RI",41.3333333333333,6.66666666666667
"41","SC",38.6666666666667,4.93333333333333
"42","SD",23.2,2.46666666666667
"43","TN",36.0666666666667,4.4
"44","TX",31.9333333333333,2.6
"45","UT",32.0666666666667,1.86666666666667
"46","VA",37.3333333333333,6
"47","VT",29.9333333333333,0
"48","WA",26.4666666666667,3.13333333333333
"49","WI",38.0666666666667,4.4
"50","WV",28.5333333333333,4.2
"51","WY",39.5333333333333,2.53333333333333
