Category: All categories

Day,Kung Flu: (United States)
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,4
2020-01-25,7
2020-01-26,6
2020-01-27,8
2020-01-28,9
2020-01-29,8
2020-01-30,7
2020-01-31,4
2020-02-01,4
2020-02-02,2
2020-02-03,2
2020-02-04,4
2020-02-05,3
2020-02-06,1
2020-02-07,2
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,2
2020-02-12,2
2020-02-13,1
2020-02-14,1
2020-02-15,0
2020-02-16,0
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,2
2020-02-22,0
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,2
2020-02-28,1
2020-02-29,0
2020-03-01,1
2020-03-02,2
2020-03-03,1
2020-03-04,2
2020-03-05,2
2020-03-06,1
2020-03-07,2
2020-03-08,1
2020-03-09,3
2020-03-10,4
2020-03-11,4
2020-03-12,4
2020-03-13,4
2020-03-14,2
2020-03-15,5
2020-03-16,1
2020-03-17,11
2020-03-18,86
2020-03-19,100
2020-03-20,45
2020-03-21,38
2020-03-22,20
2020-03-23,14
2020-03-24,12
2020-03-25,10
2020-03-26,9
2020-03-27,7
2020-03-28,9
2020-03-29,6
2020-03-30,4
2020-03-31,3
2020-04-01,3
2020-04-02,3
2020-04-03,4
2020-04-04,5
2020-04-05,3
2020-04-06,3
2020-04-07,4
2020-04-08,2
2020-04-09,3
2020-04-10,3
2020-04-11,2
2020-04-12,4
2020-04-13,1
2020-04-14,3
2020-04-15,1
2020-04-16,2
2020-04-17,2
2020-04-18,2
