Category: All categories

Region,Kung Flu: (1/20/20 - 4/20/20)
Alaska,100
South Dakota,78
Hawaii,56
North Dakota,54
Utah,53
Rhode Island,53
Pennsylvania,52
Nebraska,51
Connecticut,51
Ohio,49
Massachusetts,47
Arizona,47
New Jersey,46
New Hampshire,46
South Carolina,45
Missouri,43
Virginia,42
West Virginia,41
California,40
Kansas,40
Wyoming,39
New York,39
Michigan,38
Arkansas,37
Illinois,37
Wisconsin,36
Colorado,36
Tennessee,35
Maryland,34
Georgia,34
North Carolina,34
Oregon,32
Washington,32
District of Columbia,31
Montana,31
Minnesota,31
Vermont,30
Idaho,30
Indiana,30
Nevada,30
Maine,29
Delaware,29
Texas,29
Louisiana,29
Florida,28
Kentucky,22
Mississippi,22
Alabama,20
Iowa,20
Oklahoma,20
New Mexico,19
