"","X","Day","State","ChinaVirusInterest","KungFluInterest","Region"
"1",1,"2020-01-21","AK",28,0,"West"
"2",2,"2020-01-22","AK",83,0,"West"
"3",3,"2020-01-23","AK",28,0,"West"
"4",4,"2020-01-24","AK",55,0,"West"
"5",5,"2020-01-25","AK",48,0,"West"
"6",6,"2020-01-26","AK",46,0,"West"
"7",7,"2020-01-27","AK",0,25,"West"
"8",8,"2020-01-28","AK",67,0,"West"
"9",9,"2020-01-29","AK",68,0,"West"
"10",10,"2020-01-30","AK",0,0,"West"
"11",11,"2020-01-31","AK",56,0,"West"
"12",12,"2020-02-01","AK",100,0,"West"
"13",13,"2020-02-02","AK",31,0,"West"
"14",14,"2020-02-03","AK",26,0,"West"
"15",15,"2020-02-04","AK",28,0,"West"
"16",16,"2020-02-05","AK",28,0,"West"
"17",17,"2020-02-06","AK",0,0,"West"
"18",18,"2020-02-07","AK",56,0,"West"
"19",19,"2020-02-08","AK",32,0,"West"
"20",20,"2020-02-09","AK",0,0,"West"
"21",21,"2020-02-10","AK",0,0,"West"
"22",22,"2020-02-11","AK",27,0,"West"
"23",23,"2020-02-12","AK",28,0,"West"
"24",24,"2020-02-13","AK",0,0,"West"
"25",25,"2020-02-14","AK",29,0,"West"
"26",26,"2020-02-15","AK",32,0,"West"
"27",27,"2020-02-16","AK",0,0,"West"
"28",28,"2020-02-17","AK",0,0,"West"
"29",29,"2020-02-18","AK",0,0,"West"
"30",30,"2020-02-19","AK",27,0,"West"
"31",31,"2020-02-20","AK",0,0,"West"
"32",32,"2020-02-21","AK",0,0,"West"
"33",33,"2020-02-22","AK",0,0,"West"
"34",34,"2020-02-23","AK",32,0,"West"
"35",35,"2020-02-24","AK",0,0,"West"
"36",36,"2020-02-25","AK",0,0,"West"
"37",37,"2020-02-26","AK",0,0,"West"
"38",38,"2020-02-27","AK",28,0,"West"
"39",39,"2020-02-28","AK",0,0,"West"
"40",40,"2020-02-29","AK",0,0,"West"
"41",41,"2020-03-01","AK",0,0,"West"
"42",42,"2020-03-02","AK",0,0,"West"
"43",43,"2020-03-03","AK",0,0,"West"
"44",44,"2020-03-04","AK",0,0,"West"
"45",45,"2020-03-05","AK",52,0,"West"
"46",46,"2020-03-06","AK",0,0,"West"
"47",47,"2020-03-07","AK",0,0,"West"
"48",48,"2020-03-08","AK",0,0,"West"
"49",49,"2020-03-09","AK",26,0,"West"
"50",50,"2020-03-10","AK",27,0,"West"
"51",51,"2020-03-11","AK",0,0,"West"
"52",52,"2020-03-12","AK",26,0,"West"
"53",53,"2020-03-13","AK",28,0,"West"
"54",54,"2020-03-14","AK",30,0,"West"
