"","Day","china.virus...Alaska.","Kung.Flu...Alaska.","china.virus...Arkansas.","Kung.Flu...Arkansas.","china.virus...Arizona.","Kung.Flu...Arizona.","china.virus...Alabama.","Kung.Flu...Alabama.","china.virus...California.","Kung.Flu...California.","china.virus...Colorado.","Kung.Flu...Colorado.","china.virus...Connecticut.","Kung.Flu...Connecticut.","china.virus...District.of.Columbia.","Kung.Flu...District.of.Columbia.","china.virus...Delaware.","Kung.Flu...Delaware.","china.virus...Florida.","Kung.Flu...Florida.","china.virus...Georgia.","Kung.Flu...Georgia.","china.virus...Hawaii.","Kung.Flu...Hawaii.","china.virus...Idaho.","Kung.Flu...Idaho.","china.virus...Illinois.","Kung.Flu...Illinois.","china.virus...Indiana.","Kung.Flu...Indiana.","china.virus...Iowa.","Kung.Flu...Iowa.","china.virus...Kansas.","Kung.Flu...Kansas.","china.virus...Kentucky.","Kung.Flu...Kentucky.","china.virus...Louisiana.","Kung.Flu...Louisiana.","china.virus...Maine.","Kung.Flu...Maine.","china.virus...Massachusetts.","Kung.Flu...Massachusetts.","china.virus...Maryland.","Kung.Flu...Maryland.","china.virus...Michigan.","Kung.Flu...Michigan.","china.virus...Minnesota.","Kung.Flu...Minnesota.","china.virus...Mississippi.","Kung.Flu...Mississippi.","china.virus...Missouri.","Kung.Flu...Missouri.","china.virus...Montana.","Kung.Flu...Montana.","china.virus...North.Carolina.","Kung.Flu...North.Carolina.","china.virus...North.Dakota.","Kung.Flu...North.Dakota.","china.virus...Nebraska.","Kung.Flu...Nebraska.","china.virus...Nevada.","Kung.Flu...Nevada.","china.virus...New.Hampshire.","Kung.Flu...New.Hampshire.","china.virus...New.Jersey.","Kung.Flu...New.Jersey.","china.virus...New.Mexico.","Kung.Flu...New.Mexico.","china.virus...New.York.","Kung.Flu...New.York.","china.virus...Ohio.","Kung.Flu...Ohio.","china.virus...Oklahoma.","Kung.Flu...Oklahoma.","china.virus...Oregon.","Kung.Flu...Oregon.","china.virus...Pennsylvania.","Kung.Flu...Pennsylvania.","china.virus...Rhode.Island.","Kung.Flu...Rhode.Island.","china.virus...South.Carolina.","Kung.Flu...South.Carolina.","china.virus...South.Dakota.","Kung.Flu...South.Dakota.","china.virus...Tennessee.","Kung.Flu...Tennessee.","china.virus...Texas.","Kung.Flu...Texas.","china.virus...Utah.","Kung.Flu...Utah.","china.virus...Virginia.","Kung.Flu...Virginia.","china.virus...Vermont.","Kung.Flu...Vermont.","china.virus...Washington.","Kung.Flu...Washington.","china.virus...Wisconsin.","Kung.Flu...Wisconsin.","china.virus...West.Virginia.","Kung.Flu...West.Virginia.","china.virus...Wyoming.","Kung.Flu...Wyoming."
"1","1/21/20",28,0,35,0,33,0,92,0,45,0,22,0,56,0,0,0,30,0,48,0,27,0,22,0,16,0,37,0,45,0,12,0,10,0,27,0,74,0,63,0,54,0,43,0,49,0,60,0,62,0,32,0,47,0,43,0,56,0,54,0,45,0,50,0,51,0,43,0,63,0,45,0,47,0,43,0,48,0,26,0,26,0,0,0,26,0,37,0,49,0,45,0,0,0,92,0,48,0,0,0,0,0
"2","1/22/20",83,0,23,0,36,0,92,0,62,0,30,0,47,0,40,0,61,0,49,0,65,0,74,0,16,0,58,0,62,0,43,0,39,0,49,0,29,0,0,0,76,0,69,0,57,0,50,0,37,0,17,0,47,0,74,0,0,0,27,0,71,0,50,0,46,0,15,0,51,0,52,0,46,0,100,0,50,0,26,0,27,0,59,0,44,0,59,0,77,0,42,0,74,0,100,0,74,0,23,0,46,0
"3","1/23/20",28,0,57,0,60,0,58,0,82,0,70,0,60,0,47,0,31,0,53,0,73,0,85,0,16,0,57,0,65,0,48,0,40,0,36,0,85,0,32,0,98,0,91,0,97,0,90,0,49,0,49,0,78,0,66,0,0,0,35,0,80,0,100,0,49,0,89,0,88,0,66,0,100,0,95,0,78,0,27,0,43,0,58,0,75,0,73,0,48,0,83,0,37,0,79,0,57,0,46,0,67,0
"4","1/24/20",55,0,46,0,86,0,59,0,94,1,69,0,96,0,28,0,96,0,63,0,100,0,76,0,76,0,100,0,94,0,69,0,10,0,100,0,29,0,66,0,94,0,100,0,98,5,89,7,50,0,100,0,48,32,100,0,0,0,100,0,72,0,91,0,100,0,37,0,100,0,77,7,82,0,69,9,100,0,81,0,100,0,60,0,100,0,100,0,97,0,100,5,37,0,100,0,100,0,68,0,91,0
"5","1/25/20",48,0,100,0,100,0,85,0,100,0,100,0,100,0,76,0,100,0,100,2,73,0,95,0,77,0,73,0,100,0,67,0,25,0,52,0,52,0,48,0,94,5,70,0,100,10,100,0,87,0,67,0,75,0,74,0,100,0,98,0,60,0,83,0,84,0,100,0,86,4,100,4,48,0,80,0,85,7,77,0,50,0,100,0,46,0,82,1,100,0,60,5,59,0,99,4,91,7,38,0,100,0
"6","1/26/20",46,0,13,13,81,0,78,0,81,1,80,0,64,0,100,0,30,0,65,2,72,0,67,0,53,0,48,0,70,0,41,0,47,0,67,0,62,0,66,0,100,5,75,0,81,0,93,0,40,0,84,0,100,0,70,0,31,0,20,0,100,0,50,0,73,0,39,16,82,0,43,0,74,15,92,0,59,3,84,0,52,0,47,0,46,0,55,2,94,10,85,5,71,0,56,0,54,6,47,0,0,0
"7","1/27/20",0,25,55,0,88,4,25,12,65,1,43,0,93,0,25,0,29,0,55,3,55,0,51,0,23,0,44,2,92,0,29,0,39,0,21,0,96,0,49,0,55,0,78,0,85,0,57,0,35,0,38,6,30,0,62,3,53,0,70,0,50,8,46,0,73,3,49,0,92,0,83,3,39,13,25,0,67,3,48,0,85,0,73,0,55,0,52,0,59,0,77,4,33,0,52,3,31,6,83,0,40,0
"8","1/28/20",67,0,23,0,48,0,33,0,70,1,46,5,46,0,39,0,45,0,62,0,52,0,62,0,55,0,40,0,61,0,24,0,100,0,63,0,100,0,80,0,50,0,79,0,72,4,53,7,62,0,60,7,31,0,47,4,27,0,71,0,53,0,37,25,65,0,36,0,66,0,83,3,91,0,34,0,64,0,100,0,63,0,39,0,38,0,43,1,33,0,45,0,68,0,47,0,46,0,56,0,44,0
"9","1/29/20",68,0,57,0,40,5,58,10,55,2,41,0,38,9,13,0,91,0,44,0,61,4,75,0,16,0,24,0,74,0,31,0,50,0,32,0,57,0,42,0,43,9,55,0,58,0,64,0,61,0,27,0,62,0,37,0,0,0,0,0,72,0,73,0,58,0,38,0,62,0,53,3,54,13,48,0,53,7,52,0,42,11,0,0,41,6,48,0,15,19,58,4,53,0,48,0,35,0,44,0,0,0
"10","1/30/20",0,0,70,0,32,0,47,0,43,1,43,5,28,0,40,0,0,0,63,0,55,0,100,0,42,17,36,3,41,0,49,0,21,0,32,0,29,0,32,0,33,0,52,0,60,5,27,0,63,0,37,7,33,0,28,4,28,0,36,0,55,0,0,0,52,0,60,0,50,2,48,0,13,0,22,0,44,0,26,0,37,11,40,0,24,0,37,1,43,10,57,5,54,0,24,0,39,0,22,0,43,0
