"","Day","State","ChinaVirusInterest","KungFluInterest"
"1",2020-01-21,"AK",28,0
"2",2020-01-22,"AK",83,0
"3",2020-01-23,"AK",28,0
"4",2020-01-24,"AK",55,0
"5",2020-01-25,"AK",48,0
"6",2020-01-26,"AK",46,0
"7",2020-01-27,"AK",0,25
"8",2020-01-28,"AK",67,0
"9",2020-01-29,"AK",68,0
"10",2020-01-30,"AK",0,0
"11",2020-01-31,"AK",56,0
"12",2020-02-01,"AK",100,0
"13",2020-02-02,"AK",31,0
"14",2020-02-03,"AK",26,0
"15",2020-02-04,"AK",28,0
"16",2020-02-05,"AK",28,0
"17",2020-02-06,"AK",0,0
"18",2020-02-07,"AK",56,0
"19",2020-02-08,"AK",32,0
"20",2020-02-09,"AK",0,0
"21",2020-02-10,"AK",0,0
"22",2020-02-11,"AK",27,0
"23",2020-02-12,"AK",28,0
"24",2020-02-13,"AK",0,0
"25",2020-02-14,"AK",29,0
"26",2020-02-15,"AK",32,0
"27",2020-02-16,"AK",0,0
"28",2020-02-17,"AK",0,0
"29",2020-02-18,"AK",0,0
"30",2020-02-19,"AK",27,0
"31",2020-02-20,"AK",0,0
"32",2020-02-21,"AK",0,0
"33",2020-02-22,"AK",0,0
"34",2020-02-23,"AK",32,0
"35",2020-02-24,"AK",0,0
"36",2020-02-25,"AK",0,0
"37",2020-02-26,"AK",0,0
"38",2020-02-27,"AK",28,0
"39",2020-02-28,"AK",0,0
"40",2020-02-29,"AK",0,0
"41",2020-03-01,"AK",0,0
"42",2020-03-02,"AK",0,0
"43",2020-03-03,"AK",0,0
"44",2020-03-04,"AK",0,0
"45",2020-03-05,"AK",52,0
"46",2020-03-06,"AK",0,0
"47",2020-03-07,"AK",0,0
"48",2020-03-08,"AK",0,0
"49",2020-03-09,"AK",26,0
"50",2020-03-10,"AK",27,0
"51",2020-03-11,"AK",0,0
"52",2020-03-12,"AK",26,0
"53",2020-03-13,"AK",28,0
"54",2020-03-14,"AK",30,0
"55",2020-03-15,"AK",61,0
"56",2020-03-16,"AK",26,0
"57",2020-03-17,"AK",25,0
"58",2020-03-18,"AK",26,0
"59",2020-03-19,"AK",0,0
"60",2020-03-20,"AK",25,0
"61",2020-03-21,"AK",67,27
"62",2020-03-22,"AK",0,28
"63",2020-03-23,"AK",24,0
"64",2020-03-24,"AK",25,0
"65",2020-03-25,"AK",24,0
"66",2020-03-26,"AK",24,0
"67",2020-03-27,"AK",35,0
"68",2020-03-28,"AK",50,25
"69",2020-03-29,"AK",0,0
"70",2020-03-30,"AK",0,0
"71",2020-03-31,"AK",23,0
"72",2020-04-01,"AK",45,0
"73",2020-04-02,"AK",22,0
"74",2020-04-03,"AK",47,0
"75",2020-04-04,"AK",26,0
"76",2020-04-05,"AK",0,0
"77",2020-04-06,"AK",22,0
"78",2020-04-07,"AK",22,0
"79",2020-04-08,"AK",0,0
"80",2020-04-09,"AK",0,0
"81",2020-04-10,"AK",0,0
"82",2020-04-11,"AK",26,0
"83",2020-04-12,"AK",0,0
"84",2020-04-13,"AK",0,0
"85",2020-04-14,"AK",0,0
"86",2020-04-15,"AK",0,0
"87",2020-04-16,"AK",22,0
"88",2020-04-17,"AK",23,0
