date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200310,AK,0,23,9,,,,,,,,6561feac0f53ef762911b4995038df195c62b2cb,2020-03-10T20:00:00Z,,,32,23,23,2,0,0,0,0,0
20200310,AL,0,0,0,,,,,,,,d77d1bec988a8d98086652dbe2ec43647b585934,2020-03-10T20:00:00Z,,,0,0,0,1,0,0,0,0,0
20200310,AR,0,12,3,,,,,,,,76ed6d1dfa326d78b8fc7277b42229fbfb98b6a8,2020-03-10T20:00:00Z,,,15,12,12,5,0,0,0,0,0
20200310,AZ,6,51,27,,,,,,,,5dcc8301933ff5a560e3f87228a47f11150d6833,2020-03-10T20:00:00Z,,,84,57,57,4,0,0,7,1,8
20200310,CA,133,690,,,,,,,,,0d0ac26ba210e002c4cef8b50e8305df0d25daea,2020-03-10T20:00:00Z,,,823,823,823,6,0,0,0,19,19
20200310,CO,12,142,1,,,,,,,,69761082125ab448f7ae1bd685e412afa79151b6,2020-03-10T20:00:00Z,,,155,154,154,8,0,0,9,3,12
20200310,CT,2,54,,,,,,,,,75db1306a0c3b31835dc1c30f84f59c0a1029937,2020-03-10T20:00:00Z,,,56,56,56,9,0,0,8,1,9
20200310,DC,5,17,2,,,,,,,,5ba08a29ba9ee29378b41ef76d6d3d0c369f679c,2020-03-10T20:00:00Z,,,24,22,22,11,0,0,3,4,7
20200310,DE,0,17,3,,,,,,,,a31ea8cf78fa49489859b210157dc22e5260bb01,2020-03-10T20:00:00Z,,,20,17,17,10,0,0,2,0,2
20200310,FL,19,222,155,,,,,,,,28a9eb3913e7fc74070cec1d31d47aaac19e37fe,2020-03-10T20:00:00Z,,,396,241,241,12,0,0,82,1,83
20200310,GA,17,,,,,,,,,,a132882a6ceb7fe633651eb8a444d54b2abf057d,2020-03-10T20:00:00Z,,,17,17,17,13,0,0,0,5,5
20200310,HI,2,,,,,,,,,,2200379e92b872f68070789c24b448f9e633a242,2020-03-10T20:00:00Z,,,2,2,2,15,0,0,0,0,0
20200310,IA,8,32,11,,,,,,,,0339432703c45d77e65b4663ab034cdef1ba1231,2020-03-10T20:00:00Z,,,51,40,40,19,0,0,6,5,11
20200310,ID,0,41,,,,,,,,,3398df61adeea88796c0151991e91767f23fc23b,2020-03-10T20:00:00Z,,,41,41,41,16,0,0,0,0,0
20200310,IL,19,244,63,,,,,,,,61d4b2c48b0bcc01290ae69bcaf6239f7addecee,2020-03-10T20:00:00Z,,,326,263,263,17,0,0,53,12,65
20200310,IN,6,30,,,,,,,,,4fbecba581f9cdd1d759e98a8d4bc184c0f49b18,2020-03-10T20:00:00Z,,,36,36,36,18,0,0,30,4,34
20200310,KS,1,17,21,,,,,,,,d0b4ac6984434e6749c3bb46fc10b7693b8078df,2020-03-10T20:00:00Z,,,39,18,18,20,0,0,6,0,6
20200310,KY,6,28,,,,,,,,,fb7dfcd14029c819e924cd14118e37cc9ea2a536,2020-03-10T20:00:00Z,,,34,34,34,21,0,0,11,2,13
20200310,LA,1,11,,,,,,,,,0cbd4af0d2d6d254ceee5f1d76f6f82e4a2c11d4,2020-03-10T20:00:00Z,,,12,12,12,22,0,0,6,0,6
20200310,MA,92,,,,,,,,,,5b2241741b78dcad0513de205c9dba09feae3b20,2020-03-10T20:00:00Z,,,92,92,92,25,0,0,0,51,51
20200310,MD,6,89,,,,,,,,,8f118d594d196858544dc7c24bc999d3c9843b04,2020-03-10T20:00:00Z,,,95,95,95,24,0,0,16,1,17
20200310,ME,0,20,5,,,,,,,,6d6c02b7fd92ae263c4abcb613d6f26636decd1f,2020-03-10T20:00:00Z,,,25,20,20,23,0,0,19,0,19
20200310,MI,358,39,24,,,,,,,,3e4a39aed98cca92c58aec0c948bd34e7c057f4b,2020-03-10T20:00:00Z,,,421,397,397,26,0,0,3,104,107
20200310,MN,3,132,,,,,,,,,a8bd7312aff6c319969c4284aea579180470d47b,2020-03-10T20:00:00Z,,,135,135,135,27,0,0,52,1,53
20200310,MO,1,,,,,,,,,,1c34a0d3912ffb4d44146d0a8411b013fe7248fc,2020-03-10T20:00:00Z,,,1,1,1,29,0,0,0,0,0
20200310,MS,0,,,,,,,,,,32252d133f8ee8b943fd708c3090d079ce45f7f2,2020-03-10T20:00:00Z,,,0,0,0,28,0,0,0,0,0
20200310,MT,0,15,,,,,,,,,f250ac19e94bd81dd095fe875f429e4570af3286,2020-03-10T20:00:00Z,,,15,15,15,30,0,0,4,0,4
20200310,NC,7,,,,,,,,,,7820bb5206372383942ee45994aaac2274420d5f,2020-03-10T20:00:00Z,,,7,7,7,37,0,0,0,5,5
20200310,ND,0,6,2,,,,,,,,e0805fa5b5182659ea70ca569733d8ba876ad01d,2020-03-10T20:00:00Z,,,8,6,6,38,0,0,6,0,6
20200310,NE,3,47,16,,,,,,,,2eceb89898abf1c18dc8d4e151aa6a9b7f24bd44,2020-03-10T20:00:00Z,,,66,50,50,31,0,0,11,0,11
20200310,NH,4,38,5,,,,,,,,db5511251d15682916c0b2c7d18c8e042946c86c,2020-03-10T20:00:00Z,,,47,42,42,33,0,0,0,0,0
20200310,NJ,15,44,20,,,,,,,,894e37aeac26176f2ecbaeae4a2a73ec49d66177,2020-03-10T20:00:00Z,,,79,59,59,34,0,0,9,4,13
20200310,NM,0,69,,,,,,,,,9c36987288c350a2183bb8af37efa35702813c0d,2020-03-10T20:00:00Z,,,69,69,69,35,0,0,12,0,12
20200310,NV,1,14,,,,,,,,,2652231f26f2a40d4b1d719fee236b966c061283,2020-03-10T20:00:00Z,,,15,15,15,32,0,0,0,0,0
20200310,NY,173,92,,,,,,,,,193f85893cecb99d063a03060bc4802d2d6458f1,2020-03-10T20:00:00Z,,,265,265,265,36,0,0,0,31,31
20200310,OH,3,14,15,,,,,,,,c226bdb43a781003d1620baf6ee7b55ad00c8b50,2020-03-10T20:00:00Z,,,32,17,17,39,0,0,3,0,3
20200310,OK,2,15,11,,,,,,,,fe6cb3ee7ed6b8df044b4274f1235f2c35195542,2020-03-10T20:00:00Z,,,28,17,17,40,0,0,7,1,8
20200310,OR,15,213,67,,,,,,,,b124f2b2f232984d5c0185a54ad7f85bb988a90a,2020-03-10T20:00:00Z,,,295,228,228,41,0,0,48,1,49
20200310,PA,12,,,,,,,,,,7dd8e8b438f07cd82021188efd5b91468b8ce15e,2020-03-10T20:00:00Z,,,12,12,12,42,0,0,0,2,2
20200310,RI,3,58,6,,,,,,,,36e67adb05ce8d558f0aefe09b0c328e5a79e54f,2020-03-10T20:00:00Z,,,67,61,61,44,0,0,28,0,28
20200310,SC,7,24,,,,,,,,,dd5f3a1e885292f8e8c6d3160128a1c49b84da8c,2020-03-10T20:00:00Z,,,31,31,31,45,0,0,0,0,0
20200310,SD,0,11,0,,,,,,,,f2608368ec96bfd0baf5e23ac0640cb2cb6fba1c,2020-03-10T20:00:00Z,,,11,11,11,46,0,0,6,0,6
