"","polyname","State","StateColor","total_2016","dem_2016","gop_2016","oth_2016","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","percent_democrat2016","percent_republican2016","percent_other2016","Winner","positive","positiveScore","negativeScore","negativeRegularScore","commercialScore","grade","score","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","lastUpdateEt","checkTimeEt","death","hospitalized","total","totalTestResults","posNeg","fips","dateModified","dateChecked","StayAtHome_date","Quarantine_Yes","na.rm","X","mean_ChinaVirusInterest","mean_KungFluInterest"
"1","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican",5025,1,1,0,1,"B",3,40875,NA,NA,641,NA,260,NA,157,NA,"4/20 00:00","4/20 16:07",167,641,45900,45900,45900,1,2020-04-20,2020-04-20,2020-04-04,1,TRUE,2,22,3
"2","alaska","AK","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican",321,1,1,1,1,"A",4,9803,NA,46,36,NA,NA,NA,NA,161,"4/20 14:00","4/20 14:17",9,36,10124,10124,10124,2,2020-04-20,2020-04-20,2020-03-28,1,TRUE,1,26,3.66666666666667
"3","arizona","AZ","red",2062810,936250,1021154,105406,6479703,0.57,0.04,0.03,0.3,25358,747,36.3,0.453871176,0.495030565,0.051098259,"Republican",5064,1,1,0,1,"B",3,49436,NA,637,NA,285,NA,181,NA,1155,"4/20 00:00","4/20 14:27",187,NA,54500,54500,54500,4,2020-04-20,2020-04-20,2020-03-30,1,TRUE,4,52.3333333333333,4.33333333333333
"4","arkansas","AR","red",1108615,378729,677904,51982,2933369,0.74,0.15,0.01,0.07,22170,480,37.5,0.341623557,0.611487306,0.046889136,"Republican",1923,1,1,1,1,"A",4,24630,NA,93,291,NA,NA,24,57,749,"4/20 14:30","4/20 16:17",42,291,26553,26553,26553,5,2020-04-20,2020-04-20,NA,0,TRUE,3,39.2666666666667,3.53333333333333
"5","california","CA","blue",9631972,5931283,3184721,515968,37659181,0.4,0.06,0.13,0.38,29527,1119,35.4,0.615791138,0.3306406,0.053568262,"Democrat",30978,1,1,0,1,"B",3,259522,NA,4674,NA,1480,NA,NA,NA,NA,"4/19 00:00","4/20 16:16",1208,NA,290500,290500,290500,6,2020-04-19,2020-04-20,2020-03-19,1,TRUE,5,36.3333333333333,3.06666666666667
"6","colorado","CO","blue",2564185,1212209,1137455,214521,5119329,0.7,0.04,0.03,0.21,31109,825,36.1,0.472746311,0.443593188,0.0836605,"Democrat",9730,1,1,1,1,"A",4,36465,NA,874,1813,NA,NA,NA,NA,NA,"4/19 16:06","4/20 14:28",422,1813,46195,46195,46195,8,2020-04-19,2020-04-20,2020-03-26,1,TRUE,6,31.6666666666667,3.66666666666667
"7","connecticut","CT","blue",1623542,884432,668266,70844,3583561,0.7,0.09,0.04,0.14,37892,880,40.2,0.544754617,0.411609924,0.043635459,"Democrat",19815,1,1,1,1,"A",4,42991,NA,1919,NA,NA,NA,NA,NA,NA,"4/20 16:00","4/20 16:21",1331,NA,62806,62806,62806,9,2020-04-20,2020-04-20,2020-03-23,1,TRUE,7,44,4.93333333333333
"8","delaware","DE","blue",441535,235581,185103,20851,908446,0.65,0.21,0.03,0.08,29819,828,38.9,0.533550002,0.419226109,0.047223889,"Democrat",2745,1,1,1,1,"A",4,13725,NA,256,NA,NA,NA,NA,NA,495,"4/20 12:00","4/20 14:34",72,NA,16470,16470,16470,10,2020-04-20,2020-04-20,2020-03-24,1,TRUE,9,39.1333333333333,3.6
"9","district of columbia","DC","blue",280272,260223,11553,8496,619371,0.35,0.49,0.03,0.1,45290,1154,33.8,0.928465919,0.041220671,0.03031341,"Democrat",2927,1,1,1,1,"A",4,11186,NA,402,NA,120,NA,69,NA,630,"4/19 00:00","4/20 16:17",105,NA,14113,14113,14113,11,2020-04-19,2020-04-20,NA,NA,NA,8,17.8,2.13333333333333
"10","florida","FL","purple",9386750,4485745,4605515,295490,19091156,0.57,0.15,0.02,0.23,26236,838,41,0.477880523,0.490639998,0.031479479,"Republican",26660,1,1,1,1,"A",4,239565,1104,NA,4010,NA,NA,NA,NA,NA,"4/20 09:28","4/20 14:36",806,4010,267329,266225,266225,12,2020-04-20,2020-04-20,2020-04-03,1,TRUE,10,42.4666666666667,2.4
