"","polyname","State","StateColor","total_2016","dem_2016","gop_2016","oth_2016","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","percent_democrat2016","percent_republican2016","percent_other2016","Winner","date","positive","negative","death","hospitalized","totalTestResults","FIPS","StayAtHome_date","Quarantine_Yes","na.rm","X","mean_ChinaVirusInterest","mean_KungFluInterest"
"1","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/10/2020",0,0,NA,NA,0,1,2020-04-04,1,TRUE,2,22,3
"2","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/11/2020",0,10,NA,NA,10,1,2020-04-04,1,TRUE,2,22,3
"3","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/12/2020",0,10,NA,NA,10,1,2020-04-04,1,TRUE,2,22,3
"4","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/13/2020",1,11,NA,NA,12,1,2020-04-04,1,TRUE,2,22,3
"5","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/14/2020",6,22,NA,NA,28,1,2020-04-04,1,TRUE,2,22,3
"6","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/15/2020",12,28,0,NA,40,1,2020-04-04,1,TRUE,2,22,3
"7","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/16/2020",28,28,0,NA,56,1,2020-04-04,1,TRUE,2,22,3
"8","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/17/2020",36,28,0,NA,64,1,2020-04-04,1,TRUE,2,22,3
"9","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/18/2020",46,28,0,NA,74,1,2020-04-04,1,TRUE,2,22,3
"10","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/19/2020",68,28,0,NA,96,1,2020-04-04,1,TRUE,2,22,3
"11","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/20/2020",81,28,0,NA,109,1,2020-04-04,1,TRUE,2,22,3
"12","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/21/2020",124,28,0,NA,152,1,2020-04-04,1,TRUE,2,22,3
"13","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/22/2020",138,1464,0,NA,1602,1,2020-04-04,1,TRUE,2,22,3
"14","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/23/2020",167,1665,0,NA,1832,1,2020-04-04,1,TRUE,2,22,3
"15","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican","3/24/2020",215,2106,0,NA,2321,1,2020-04-04,1,TRUE,2,22,3
"16","alaska","AK","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","3/10/2020",0,23,NA,NA,23,2,2020-03-28,1,TRUE,1,26,3.66666666666667
