"","State","Day","ChinaVirusInterest","KungFluInterest","positive","negative","death","hospitalized","totalTestResults","FIPS","StayAtHome_date","Quarantine_Yes","polyname","StateColor","total_2016","dem_2016","gop_2016","oth_2016","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","percent_democrat2016","percent_republican2016","percent_other2016","Winner","Region","latitude.x","longitude.x","name.x","latitude.y","longitude.y","name.y"
"1","AK",2020-03-10,27,0,0,23,NA,NA,23,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"2","AK",2020-03-11,0,0,0,46,NA,NA,46,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"3","AK",2020-03-12,26,0,0,46,NA,NA,46,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"4","AK",2020-03-13,28,0,1,59,NA,NA,60,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"5","AK",2020-03-14,30,0,1,143,NA,NA,144,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"6","AK",2020-03-15,61,0,1,143,NA,NA,144,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"7","AK",2020-03-16,26,0,1,143,NA,NA,144,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"8","AK",2020-03-17,25,0,3,334,NA,NA,337,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"9","AK",2020-03-18,26,0,6,406,NA,NA,412,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"10","AK",2020-03-19,0,0,6,432,NA,NA,438,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"11","AK",2020-03-20,25,0,12,686,NA,NA,698,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"12","AK",2020-03-21,67,27,14,758,NA,0,772,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
"13","AK",2020-03-22,0,28,22,946,NA,0,968,2,"03/28/2020",1,"alaska","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican","West",63.588753,-154.493062,"Alaska",63.588753,-154.493062,"Alaska"
