date,state,positive,negative,death,hospitalized,totalTestResults,FIPS
3/10/2020,AK,0,23,,,23,2
3/10/2020,AL,0,0,,,0,1
3/10/2020,AR,0,12,,,12,5
3/10/2020,AZ,6,51,,,57,4
3/10/2020,CA,133,690,,,823,6
3/10/2020,CO,12,142,,,154,8
3/10/2020,CT,2,54,,,56,9
3/10/2020,DC,5,17,,,22,11
3/10/2020,DE,0,17,,,17,10
3/10/2020,FL,19,222,,,241,12
3/10/2020,GA,17,,,,17,13
3/10/2020,HI,2,,,,2,15
3/10/2020,IA,8,32,,,40,19
3/10/2020,ID,0,41,,,41,16
3/10/2020,IL,19,244,,,263,17
3/10/2020,IN,6,30,,,36,18
3/10/2020,KS,1,17,,,18,20
3/10/2020,KY,6,28,,,34,21
3/10/2020,LA,1,11,,,12,22
3/10/2020,MA,92,,,,92,25
3/10/2020,MD,6,89,,,95,24
3/10/2020,ME,0,20,,,20,23
3/10/2020,MI,358,39,,,397,26
3/10/2020,MN,3,132,,,135,27
3/10/2020,MO,1,,,,1,29
3/10/2020,MS,0,,,,0,28
3/10/2020,MT,0,15,,,15,30
3/10/2020,NC,7,,,,7,37
3/10/2020,ND,0,6,,,6,38
3/10/2020,NE,3,47,,,50,31
3/10/2020,NH,4,38,,,42,33
3/10/2020,NJ,15,44,,,59,34
3/10/2020,NM,0,69,,,69,35
3/10/2020,NV,1,14,,,15,32
3/10/2020,NY,173,92,,,265,36
3/10/2020,OH,3,14,,,17,39
3/10/2020,OK,2,15,,,17,40
3/10/2020,OR,15,213,,,228,41
3/10/2020,PA,12,,,,12,42
3/10/2020,RI,3,58,,,61,44
3/10/2020,SC,7,24,,,31,45
3/10/2020,SD,0,11,,,11,46
3/10/2020,TN,7,,,,7,47
3/10/2020,TX,13,,,,13,48
3/10/2020,UT,2,,,,2,49
3/10/2020,VA,8,53,,,61,51
3/10/2020,VT,1,40,,,41,50
3/10/2020,WA,390,1110,37,,1500,53
3/10/2020,WI,2,36,,,38,55
3/10/2020,WV,0,2,,,2,54
3/10/2020,WY,0,0,,,0,56
3/11/2020,AK,0,46,,,46,2
3/11/2020,AL,0,10,,,10,1
3/11/2020,AR,0,12,,,12,5
3/11/2020,AZ,9,59,,,68,4
3/11/2020,CA,157,916,,,1073,6
3/11/2020,CO,28,251,,,279,8
3/11/2020,CT,3,71,,,74,9
3/11/2020,DC,5,20,,,25,11
3/11/2020,DE,1,17,,,18,10
3/11/2020,FL,28,301,2,,329,12
3/11/2020,GA,22,,,,22,13
3/11/2020,HI,2,,,,2,15
3/11/2020,IA,13,46,,,59,19
3/11/2020,ID,0,67,,,67,16
3/11/2020,IL,19,244,,,263,17
3/11/2020,IN,10,33,,,43,18
3/11/2020,KS,1,41,,,42,20
3/11/2020,KY,8,46,,,54,21
3/11/2020,LA,6,37,,,43,22
3/11/2020,MA,92,,,,92,25
3/11/2020,MD,9,94,,,103,24
3/11/2020,ME,0,42,,,42,23
3/11/2020,MI,497,57,,,554,26
3/11/2020,MN,5,217,,,222,27
3/11/2020,MO,1,,,,1,29
3/11/2020,MS,0,20,,,20,28
3/11/2020,MT,0,21,,,21,30
3/11/2020,NC,7,,,,7,37
3/11/2020,ND,0,7,,,7,38
3/11/2020,NE,5,47,,,52,31
3/11/2020,NH,4,38,,,42,33
3/11/2020,NJ,24,57,1,,81,34
3/11/2020,NM,3,87,,,90,35
3/11/2020,NV,5,168,,,173,32
3/11/2020,NY,216,92,,,308,36
3/11/2020,OH,4,21,,,25,39
3/11/2020,OK,2,15,,,17,40
3/11/2020,OR,19,286,,,305,41
3/11/2020,PA,16,88,,,104,42
3/11/2020,RI,5,94,,,99,44
3/11/2020,SC,9,32,,,41,45
3/11/2020,SD,5,13,,,18,46
3/11/2020,TN,7,50,,,57,47
3/11/2020,TX,21,,,,21,48
3/11/2020,UT,2,,,,2,49
3/11/2020,VA,9,60,,,69,51
3/11/2020,VT,1,62,,,63,50
3/11/2020,WA,474,2175,40,,2649,53
3/11/2020,WI,3,43,,,46,55
3/11/2020,WV,0,3,,,3,54
3/11/2020,WY,0,,,,0,56
3/12/2020,AK,0,46,,,46,2
3/12/2020,AL,0,10,,,10,1
3/12/2020,AR,6,24,,,30,5
3/12/2020,AZ,9,82,,,91,4
3/12/2020,CA,202,916,4,,1118,6
3/12/2020,CO,45,298,,,343,8
3/12/2020,CT,6,89,,,95,9
3/12/2020,DC,10,20,,,30,11
3/12/2020,DE,4,23,,,27,10
3/12/2020,FL,32,301,2,,333,12
3/12/2020,GA,31,,,,31,13
3/12/2020,HI,2,,,,2,15
3/12/2020,IA,14,67,,,81,19
3/12/2020,ID,0,93,,,93,16
3/12/2020,IL,25,266,,,291,17
3/12/2020,IN,12,52,,,64,18
3/12/2020,KS,4,41,,,45,20
3/12/2020,KY,8,56,,,64,21
3/12/2020,LA,14,37,,,51,22
3/12/2020,MA,95,,,,95,25
3/12/2020,MD,12,94,,,106,24
3/12/2020,ME,1,65,,,66,23
3/12/2020,MI,702,91,,,793,26
3/12/2020,MN,9,307,,,316,27
3/12/2020,MO,1,64,,,65,29
3/12/2020,MS,1,41,,,42,28
3/12/2020,MT,1,34,,,35,30
3/12/2020,NC,12,60,,,72,37
3/12/2020,ND,1,12,,,13,38
3/12/2020,NE,10,80,,,90,31
3/12/2020,NH,6,94,,,100,33
3/12/2020,NJ,30,74,1,,104,34
3/12/2020,NM,5,155,,,160,35
3/12/2020,NV,7,168,,,175,32
3/12/2020,NY,216,92,,,308,36
3/12/2020,OH,5,30,,,35,39
3/12/2020,OK,3,36,,,39,40
3/12/2020,OR,19,286,,,305,41
3/12/2020,PA,22,116,,,138,42
3/12/2020,RI,5,94,,,99,44
3/12/2020,SC,10,48,,,58,45
3/12/2020,SD,8,27,,,35,46
3/12/2020,TN,18,79,,,97,47
3/12/2020,TX,23,,,,23,48
3/12/2020,UT,4,131,,,135,49
3/12/2020,VA,17,117,,,134,51
3/12/2020,VT,2,97,,,99,50
3/12/2020,WA,543,3037,44,,3580,53
3/12/2020,WI,8,84,,,92,55
3/12/2020,WV,0,7,,,7,54
3/12/2020,WY,1,,,,1,56
3/13/2020,AK,1,59,,,60,2
3/13/2020,AL,1,11,,,12,1
3/13/2020,AR,9,30,,,39,5
3/13/2020,AZ,9,94,0,,103,4
3/13/2020,CA,202,916,4,,1118,6
3/13/2020,CO,72,524,,,596,8
3/13/2020,CT,6,99,,,105,9
3/13/2020,DC,10,20,,,30,11
3/13/2020,DE,4,30,,,34,10
3/13/2020,FL,50,478,2,,528,12
3/13/2020,GA,42,,1,,42,13
3/13/2020,HI,2,,,,2,15
3/13/2020,IA,16,83,,,99,19
3/13/2020,ID,0,131,,,131,16
3/13/2020,IL,32,294,,,326,17
3/13/2020,IN,12,61,,,73,18
3/13/2020,KS,6,93,,,99,20
3/13/2020,KY,11,107,,,118,21
3/13/2020,LA,36,37,,,73,22
3/13/2020,MA,123,92,,,215,25
3/13/2020,MD,17,94,,,111,24
3/13/2020,ME,3,91,,,94,23
3/13/2020,MI,945,133,,,1078,26
3/13/2020,MN,14,541,,,555,27
3/13/2020,MO,2,71,,,73,29
3/13/2020,MS,4,41,,,45,28
3/13/2020,MT,1,55,,,56,30
3/13/2020,NC,15,86,,,101,37
3/13/2020,ND,1,39,0,,40,38
3/13/2020,NE,13,80,,,93,31
3/13/2020,NH,6,94,,,100,33
3/13/2020,NJ,50,97,1,,147,34
3/13/2020,NM,10,190,,,200,35
3/13/2020,NV,11,168,,,179,32
3/13/2020,NY,421,2779,,,3200,36
3/13/2020,OH,13,50,,,63,39
3/13/2020,OK,3,36,,,39,40
3/13/2020,OR,30,337,,,367,41
3/13/2020,PA,41,140,,,181,42
3/13/2020,RI,14,142,,,156,44
3/13/2020,SC,12,75,,,87,45
3/13/2020,SD,9,73,,,82,46
3/13/2020,TN,26,116,,,142,47
3/13/2020,TX,39,,,,39,48
3/13/2020,UT,6,131,,,137,49
3/13/2020,VA,30,117,,,147,51
3/13/2020,VT,2,142,,,144,50
3/13/2020,WA,693,4350,47,,5043,53
3/13/2020,WI,19,169,,,188,55
3/13/2020,WV,0,17,,,17,54
3/13/2020,WY,1,,,,1,56
3/14/2020,AK,1,143,,,144,2
3/14/2020,AL,6,22,,,28,1
