,Day,State,ChinaVirusInterest,KungFluInterest,positive,negative,death,hospitalized,totalTestResults,FIPS,StayAtHome_date,Quarantine_Yes,polyname,StateColor,total_2016,dem_2016,gop_2016,oth_2016,total_population,percent_white,percent_black,percent_asian,percent_hispanic,per_capita_income,median_rent,median_age,percent_democrat2016,percent_republican2016,percent_other2016,Winner,Region,lat,long
1,3/10/2020,AK,27,0,0,23,NA,NA,23,2,3/28/2020,1,alaska,red,318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,Republican,West,63.588753,-154.493062
2,3/11/2020,AK,0,0,0,46,NA,NA,46,2,3/28/2020,1,alaska,red,318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,Republican,West,63.588753,-154.493062
3,3/12/2020,AK,26,0,0,46,NA,NA,46,2,3/28/2020,1,alaska,red,318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,Republican,West,63.588753,-154.493062
4,3/13/2020,AK,28,0,1,59,NA,NA,60,2,3/28/2020,1,alaska,red,318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,Republican,West,63.588753,-154.493062
5,3/14/2020,AK,30,0,1,143,NA,NA,144,2,3/28/2020,1,alaska,red,318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,Republican,West,63.588753,-154.493062
6,3/15/2020,AK,61,0,1,143,NA,NA,144,2,3/28/2020,1,alaska,red,318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,Republican,West,63.588753,-154.493062
7,3/16/2020,AK,26,0,1,143,NA,NA,144,2,3/28/2020,1,alaska,red,318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,Republican,West,63.588753,-154.493062
8,3/17/2020,AK,25,0,3,334,NA,NA,337,2,3/28/2020,1,alaska,red,318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,Republican,West,63.588753,-154.493062
9,3/18/2020,AK,26,0,6,406,NA,NA,412,2,3/28/2020,1,alaska,red,318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,Republican,West,63.588753,-154.493062
10,3/19/2020,AK,0,0,6,432,NA,NA,438,2,3/28/2020,1,alaska,red,318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,Republican,West,63.588753,-154.493062
